smiles,MPPB,MBPB,MGMB,KSOL,HLM_CLint,MLM_CLint,Caco2_Papp,Caco2_Efflux,LogD
CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,,,,,1.7512791039833422,2.260786668654976,,,
COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,,,,,2.2052043639481447,3.130687493982032,,,
Cc1c2ccncc2cc2c3cc(OCCCN4CCN(C)CC4)ccc3n(C)c12,,,,,,2.28668096935493,,,
CN(C)CCCOc1ccc(-c2nc3cc(NC(=O)c4ccc5[nH]c(-c6ccc(OCCCN(C)C)cc6)nc5c4)ccc3[nH]2)cc1,,,,,0.9777236052888476,1.57978359661681,,,
CN(C)CCCOc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,,,6.906754778648553,,0.9344984512435676,2.2095150145426308,,,
CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,,,,,1.276461804173244,1.8075350280688531,,,
COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,,,,,1.173186268412274,1.82020145948564,,,
Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,,,,,1.1760912590556811,2.2227164711475837,,,
CN(C)C[C@H](O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OC[C@@H](O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,,,,,0.9344984512435676,1.57978359661681,,,
COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,,,,,2.3861421089308186,1.8904210188009145,,,
CN(C)C1CCN(c2ccc3nc(-c4ccc(-c5nc6ccc(N7CCC(N(C)C)CC7)cc6[nH]5)cc4)[nH]c3c2)CC1,,,,,0.9444826721501688,1.57978359661681,,,
